,Unnamed: 0,代碼,公司名稱
377,377,2456,奇力新
378,378,2457,飛宏
379,379,2458,義隆
380,380,2459,敦吉
381,381,2460,建通
382,382,2461,光群雷
383,383,2462,良得電
384,384,2463,研揚
385,385,2464,盟立
386,386,2465,麗臺
387,387,2466,冠西電
388,388,2467,志聖
389,389,2468,華經
390,390,2469,力信
391,391,2470,品佳
392,392,2471,資通
393,393,2472,立隆電
394,394,2473,思源
395,395,2474,可成
396,396,2475,華映
397,397,2476,鉅祥
398,398,2477,美隆電
399,399,2478,大毅
400,400,2479,和立
401,401,2480,敦陽科
402,402,2481,強茂
403,403,2482,連宇
404,404,2483,百容
405,405,2484,希華
406,406,2485,兆赫
407,407,2486,一詮
408,408,2487,友立資
409,409,2488,漢平
410,410,2489,瑞軒
411,411,2490,皇統
412,412,2491,訊碟
413,413,2492,華新科
414,414,2493,揚博
415,415,2494,突破
416,416,2495,普安
417,417,2496,卓越
418,418,2497,怡利電
419,419,2498,宏達電
420,420,2499,東貝
421,421,3001,協和
422,422,3002,歐格
423,423,3003,健和興
424,424,3004,宏達科
425,425,3005,神基
426,426,3006,晶豪科
427,427,3007,綠點
428,428,3008,大立光電
429,429,3009,奇美電
430,430,3010,華立
431,431,3011,今皓
432,432,3012,廣輝
433,433,3013,晟銘電
434,434,3014,聯陽
435,435,3015,全漢
436,436,3016,嘉晶
437,437,3017,奇鋐
438,438,3018,同開
439,439,3019,亞光
440,440,3020,奇普仕
441,441,3021,衛道
442,442,3022,威達電
443,443,3023,信邦
444,444,3024,憶聲
445,445,3025,星通
446,446,3026,禾伸堂
447,447,3027,盛達
448,448,3028,增你強
449,449,3029,零壹
450,450,3030,德律
451,451,3031,佰鴻
452,452,3032,偉訓
453,453,3033,威健
454,454,3034,聯詠
455,455,3035,智原
456,456,3036,文曄
457,457,3037,欣興
458,458,3038,全台
459,459,3039,宏傳
460,460,3040,遠見
461,461,3041,揚智
462,462,3042,晶技
463,463,3043,科風
464,464,3044,健鼎
465,465,3045,台灣大
466,466,3046,建碁
467,467,3047,訊舟
468,468,3048,益登
469,469,3049,和鑫
470,470,3050,鈺德
471,471,3051,力特
472,472,3052,夆典
473,473,3053,鼎營
474,474,3054,萬國
475,475,3055,蔚華科
476,476,3056,駿億
477,477,3057,喬鼎
478,478,3058,立德
479,479,3059,華晶科
480,480,3060,銘異
481,481,3061,璨圓
482,482,6128,上福
483,483,1902,台紙
484,484,1903,士紙
485,485,1904,正隆
486,486,1905,華紙
487,487,1906,寶隆
488,488,1907,永豐餘
489,489,1909,榮成
490,490,2601,益航
491,491,2603,長榮
492,492,2604,立榮
493,493,2605,新興
494,494,2606,裕民
495,495,2607,榮運
496,496,2608,大榮
497,497,2609,陽明
498,498,2610,華航
499,499,2611,志信
500,500,2612,中航
501,501,2613,中櫃
502,502,2614,遠森科
503,503,2615,萬海
504,504,2616,山隆
505,505,2617,台航
506,506,2618,長榮航
507,507,2801,彰銀
508,508,2807,竹商銀
509,509,2808,北商銀
510,510,2809,南企
511,511,2811,東企
512,512,2812,台中銀
513,513,2816,友聯
514,514,2820,華票
515,515,2822,農銀
516,516,2823,中壽
517,517,2825,中央保
518,518,2827,中聯
519,519,2828,萬通
520,520,2831,中華銀行
521,521,2832,台產
522,522,2833,台壽
523,523,2834,台企
524,524,2836,高雄銀
525,525,2837,萬泰銀
526,526,2838,聯邦銀
527,527,2841,台開
528,528,2845,遠東銀
529,529,2847,大眾銀
530,530,2848,華南保
531,531,2849,安泰銀
532,532,2850,新產
533,533,2851,中再保
534,534,2852,第一保
535,535,2880,華南金
536,536,2881,富邦金
537,537,2882,國泰金
538,538,2883,開發金
539,539,2884,玉山金
540,540,2885,復華金
541,541,2886,兆豐金
542,542,2887,台新金
543,543,2888,新光金
544,544,2889,國票金
545,545,2890,建華金
546,546,2891,中信金
